data_year,criminal_act_id,offense_id
2023,9,206097554
2023,9,207206425
2023,6,215757314
2023,3,207206462
2023,7,207206463
2023,9,206097542
2023,3,209491474
2023,6,215757082
2023,4,209491251
2023,6,224283489
2023,6,224283490
2023,6,222009447
2023,4,215757038
2023,9,207206525
2023,4,222009493
2023,6,222009493
2023,6,211211304
2023,6,207206536
2023,9,213180321
2023,8,207206679
2023,6,207206578
2023,9,207206579
2023,9,209491501
2023,9,209491637
2023,4,209491743
2023,9,209491795
2023,4,222009601
2023,4,224283296
2023,6,224283296
2023,9,211211410
2023,3,215757140
2023,9,209491764
2023,2,224283342
2023,5,222009484
2023,9,211211363
2023,9,211211364
2023,6,222009580
2023,6,222009581
2023,6,211211448
2023,9,224283450
2023,3,215757009
2023,9,211211597
2023,9,215757176
2023,6,224283495
2023,6,211211477
2023,9,215757425
2023,5,222009517
2023,6,213180362
2023,6,217129025
2023,8,213180269
2023,9,213180394
2023,9,213180440
2023,6,213180441
2023,6,222009664
2023,9,215757280
2023,9,215757370
2023,6,222009428
2023,8,222009485
2023,3,217129069
2023,6,217129070
2023,3,217129073
2023,9,215757265
2023,3,217129114
2023,9,223590757
2023,6,222009565
2023,6,222009607
2023,3,222009588
2023,9,217129307
2023,5,222009673
2023,8,224283325
2023,9,222009550
2023,9,217129183
2023,6,222009606
2023,3,222009705
2023,4,222009705
2023,8,217129244
2023,9,222009832
2023,9,222009692
2023,9,222009733
2023,9,222009759
2023,8,222009671
2023,4,222009698
2023,6,222009698
2023,4,222009740
2023,6,222009740
2023,4,222009775
2023,6,222009775
2023,4,222009727
2023,6,222009727
2023,4,222009757
2023,4,222009796
2023,6,222009796
2023,6,222009641
2023,9,222009743
2023,2,222009804
2023,9,222009840
2023,5,222009913
2023,9,222010005
2023,9,222009678
2023,6,222009711
2023,9,222009749
2023,1,222009690
2023,8,222009784
2023,9,222009819
2023,4,224283444
2023,6,223603477
2023,6,223603478
2023,6,209500766
2023,5,213206402
2023,6,213206402
2023,7,213206402
2023,1,213206403
2023,3,213206403
2023,6,213206403
2023,1,213206404
2023,3,213206404
2023,6,213206404
2023,9,206121297
2023,6,204629670
2023,8,204629671
2023,3,199222074
2023,8,223586306
2023,6,199222034
2023,6,199222035
2023,6,219490477
2023,6,219490478
2023,6,199222190
2023,6,206138546
2023,6,199222268
2023,6,204629831
2023,6,204629832
2023,6,204629949
2023,8,204629950
2023,6,199222254
2023,6,211206058
2023,6,211206059
2023,6,211206060
2023,6,207239239
2023,6,207239240
2023,3,206138559
2023,8,206138560
2023,6,206138561
2023,6,199222269
2023,6,199222302
2023,6,199222303
2023,6,203127385
2023,6,203127386
2023,6,211206170
2023,6,211206171
2023,3,209485247
2023,3,204629760
2023,3,207239159
2023,3,207239175
2023,6,207239176
2023,6,213218573
2023,3,206138537
2023,3,209485288
2023,3,207239278
2023,8,207239279
2023,3,204629783
2023,8,199222537
2023,8,199222538
2023,8,199222613
2023,8,199222616
2023,4,204629814
2023,6,204629814
2023,8,199222574
2023,8,199222575
2023,6,213218402
2023,6,213218403
2023,6,209485304
2023,3,215751677
2023,3,219490495
2023,8,219490496
2023,3,213218409
2023,6,207239173
2023,3,206138575
2023,6,215751727
2023,6,215751728
2023,6,215751454
2023,8,215751455
2023,3,219490228
2023,3,213218453
2023,3,211206147
2023,6,219490302
2023,3,215751716
2023,6,206138672
2023,6,206138673
2023,6,219490323
2023,8,219490324
2023,3,211206436
2023,3,211206130
2023,3,211206132
2023,3,209485224
2023,8,209485225
2023,6,213218670
2023,6,213218671
2023,6,219490383
2023,8,219490384
2023,6,219490387
2023,6,204629810
2023,3,211206163
2023,3,213218780
2023,3,215751544
2023,8,215751545
2023,6,219490446
2023,6,219490447
2023,6,206138704
2023,6,206138705
2023,6,206138707
2023,6,211206204
2023,6,213218435
2023,6,213218436
2023,6,204629912
2023,6,204629913
2023,6,219490191
2023,8,219490192
2023,3,204629828
2023,3,215751601
2023,8,204629854
2023,2,204629875
2023,3,211206200
2023,6,203127716
2023,6,215751634
2023,6,215751635
2023,6,209485344
2023,3,215751573
2023,3,213218415
2023,6,203127693
2023,3,204630047
2023,8,203127746
2023,8,203127747
2023,6,203127786
2023,6,213218515
2023,6,213218516
2023,6,213218517
2023,6,204629899
2023,6,204629908
2023,6,213218528
2023,3,219490246
2023,6,204630253
2023,8,204629920
2023,8,204629921
2023,3,219490270
2023,3,215751582
2023,3,211206303
2023,3,203127817
2023,6,203127818
2023,6,203127837
2023,6,209485420
2023,6,207239211
2023,6,204630602
2023,6,204630603
2023,6,203127861
2023,6,206138871
2023,3,211206362
2023,3,211206257
2023,6,209485486
2023,6,209485487
2023,8,204630038
2023,8,204630039
2023,6,219490330
2023,8,219490334
2023,6,211206527
2023,6,211206528
2023,8,203128082
2023,8,223586278
2023,8,223586279
2023,6,213218496
2023,8,213218497
2023,6,215751644
2023,8,203128091
2023,8,203128092
2023,6,211206575
2023,6,211206576
2023,3,211206135
2023,6,209485385
2023,8,204630129
2023,8,204630130
2023,3,211206511
2023,8,211206512
2023,4,204630263
2023,6,207239291
2023,6,207239292
2023,6,207239293
2023,6,204630235
2023,6,204630236
2023,6,219490485
2023,6,213218545
2023,6,223586141
2023,6,223586142
2023,6,213218614
2023,6,204630326
2023,6,215751981
2023,8,215751982
2023,6,215751738
2023,8,215751739
2023,6,215751740
2023,3,215751799
2023,3,215751800
2023,6,215751871
2023,6,219490550
2023,6,219490551
2023,6,204630304
2023,6,204630305
2023,6,204630311
2023,3,204630327
2023,6,204630328
2023,6,204630329
2023,6,213218522
2023,8,213218523
2023,8,204630388
2023,8,204630400
2023,8,204630401
2023,6,204630428
2023,6,209485493
2023,6,209485494
2023,8,204630351
2023,8,204630352
2023,6,211206300
2023,6,211206301
2023,6,204630545
2023,6,204630546
2023,6,204630359
2023,6,219490234
2023,8,204630414
2023,8,204630415
2023,5,204630482
2023,6,204630539
2023,8,204630610
2023,8,204630611
2023,6,222005103
2023,3,215751819
2023,6,215751820
2023,6,207239944
2023,6,209485875
2023,3,215751928
2023,3,219490410
2023,6,215752096
2023,4,206139253
2023,8,219490472
2023,3,215751792
2023,3,215751918
2023,3,219490534
2023,3,211206433
2023,4,209485729
2023,4,207239395
2023,6,219490209
2023,3,219490284
2023,3,211206245
2023,8,211206246
2023,8,206139306
2023,8,206139307
2023,6,215751782
2023,8,215751783
2023,6,215751784
2023,3,223586179
2023,8,209473681
2023,6,207220542
2023,9,207220606
2023,9,209473411
2023,6,209473416
2023,6,209473446
2023,9,209473519
2023,9,209473644
2023,9,209473624
2023,9,209473670
2023,8,209473693
2023,9,209473538
2023,6,209473564
2023,8,209473564
2023,9,209473534
2023,8,209473617
2023,9,211195536
2023,6,211195558
2023,9,211195579
2023,9,211195619
2023,9,211195516
2023,9,211195544
2023,9,211195676
2023,6,211195652
2023,9,211195727
2023,6,211195728
2023,9,211195825
2023,9,211195647
2023,9,211195765
2023,6,211195746
2023,9,213197399
2023,8,213197414
2023,9,213197285
2023,9,213197313
2023,9,213197637
2023,9,213197652
2023,9,213197342
2023,6,213197335
2023,8,213197335
2023,9,213197431
2023,9,213197349
2023,9,213197357
2023,9,213197553
2023,9,213197396
2023,9,213197416
2023,9,213197426
2023,8,215741833
2023,9,215741998
2023,9,215742084
2023,9,215742129
2023,8,221991594
2023,9,215742112
2023,9,215741917
2023,9,215741989
2023,9,215741990
2023,9,217141242
2023,9,217141196
2023,8,217141289
2023,9,217141222
2023,8,217141391
2023,9,217141449
2023,9,217141317
2023,9,217141355
2023,9,217141398
2023,9,217141535
2023,9,217141238
2023,6,217141277
2023,6,217141307
2023,9,217141293
2023,1,217141294
2023,3,217141294
2023,9,217141328
2023,9,219478157
2023,8,219477853
2023,6,219478000
2023,9,219478108
2023,6,219478211
2023,9,219478126
2023,9,219478183
2023,8,219478304
2023,6,219478306
2023,9,219478414
2023,9,221991471
2023,9,223576056
2023,9,221986065
2023,9,199184364
2023,9,221986106
2023,9,221986141
2023,9,221986178
2023,9,203084902
