data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2023,50534631,,51
2023,55057362,,51
2023,55057363,,51
2023,55057364,,51
2023,55057365,,51
2023,51869869,,51
2023,54106837,,51
2023,54106838,,51
2023,55057279,,51
2023,56160188,,51
2023,54106842,,51
2023,52566330,,51
2023,52274132,,51
2023,55057290,,51
2023,50534634,,51
2023,55057191,,51
2023,56160142,,51
2023,54106857,,51
2023,53573376,,51
2023,52274153,,51
2023,56160156,,51
2023,55057291,,51
2023,52274161,,51
2023,53124413,,51
2023,56160170,,51
2023,53573494,,51
2023,53573370,,51
2023,53124342,,51
2023,54106962,,51
2023,54106963,,51
2023,54106964,,51
2023,56160179,,51
2023,51869867,,51
2023,51525035,,51
2023,53573381,,51
2023,54106998,,51
2023,55057234,,51
2023,55057235,,51
2023,56160192,,52
2023,52274166,,51
2023,53573399,,51
2023,54106849,,51
2023,51869898,,51
2023,51869876,,51
2023,55057260,,51
2023,53573398,,51
2023,51525116,,51
2023,51525137,,51
2023,55057264,,51
2023,53124376,,51
2023,51525119,,51
2023,55057252,,51
2023,51525105,,51
2023,54106845,,5
2023,51869941,,51
2023,51525113,,51
2023,51525148,,51
2023,54106883,,51
2023,51525167,,51
2023,57258858,,51
2023,54106888,,51
2023,56160147,,51
2023,51869985,,51
2023,51869908,,51
2023,51525136,,51
2023,56160149,,51
2023,55057254,,51
2023,53573432,,51
2023,51525155,,51
2023,51525156,,51
2023,51525159,,51
2023,51525153,,51
2023,51525164,,51
2023,52274190,,51
2023,51525172,,52
2023,51525175,,51
2023,51525179,,51
2023,51870064,,3
2023,52274200,,51
2023,52274201,,51
2023,53573453,,51
2023,53573419,,51
2023,53124407,,51
2023,53124408,,51
2023,53124409,,51
2023,56160171,,51
2023,51869947,,51
2023,51525195,,51
2023,53573524,,51
2023,53573525,,51
2023,51869970,,51
2023,51869999,,51
2023,51870038,,51
2023,55057266,,51
2023,55057267,,51
2023,55057268,,51
2023,53573542,,51
2023,51525205,,51
2023,53573373,,51
2023,51869982,,51
2023,53124388,,51
2023,52566345,,51
2023,51869956,,51
2023,51869958,,51
2023,55057318,,51
2023,51869964,,51
2023,51869967,,51
2023,53573519,,51
2023,51869976,,51
2023,52566360,,51
2023,52566361,,51
2023,51869974,,51
2023,51869975,,52
2023,56160201,,51
2023,54106894,,51
2023,57258824,,51
2023,51870006,,3
2023,55057299,,51
2023,55057316,,51
2023,53124399,,51
2023,55057337,,51
2023,51870002,,51
2023,51525197,,51
2023,51870024,,51
2023,51870025,,51
2023,52274264,,51
2023,53573431,,51
2023,51870011,,51
2023,56160145,,51
2023,51870013,,51
2023,51870033,,7
2023,53573487,,51
2023,52274482,,51
