data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2023,8,169853683,1.000,9,15725596
2023,1,169019173,0.500,1,15592524
2023,8,169019173,6.000,9,15592525
2023,8,169019173,0.010,1,15592526
2023,1,171560616,0.500,1,15958392
2023,4,171560616,0.500,1,15958393
2023,1,171560550,0.010,1,15958361
2023,4,171560542,8.000,1,15958355
2023,1,171560565,1.000,1,15958368
2023,4,171560565,0.100,1,15958369
2023,4,171560602,14.000,1,15958383
2023,5,172862870,12.600,1,16145924
2023,1,171560626,0.300,1,15958399
2023,1,171560656,0.200,1,15958418
2023,2,171560562,0.010,1,15958366
2023,1,176221088,1.000,1,16585013
2023,4,176221088,1.000,1,16585014
2023,12,169019194,2.000,9,15592536
2023,2,182124054,0.010,1,17411942
2023,12,182124054,0.010,1,17411943
2023,5,169019491,1.000,1,15592634
2023,2,169019853,0.010,1,15592733
2023,2,169019515,0.010,1,15592642
2023,2,169019823,1.000,1,15592717
2023,2,169019836,0.010,1,15592724
2023,2,169019549,0.010,1,15592650
2023,6,169019676,2.000,9,15592677
2023,5,163804380,0.200,1,14849033
2023,4,169019423,1.200,1,15592608
2023,8,169019423,14.100,1,15592609
2023,5,169019289,0.100,1,15592566
2023,5,169019305,164.000,1,15592570
2023,1,169019621,0.500,1,15592669
2023,2,169019621,2.000,1,15592670
2023,1,169019558,0.010,1,15592653
2023,8,169019276,0.010,1,15592560
2023,5,169019298,10.000,1,15592567
2023,4,169019401,14.700,1,15592599
2023,5,163804633,0.010,1,14849056
2023,1,169019397,0.050,1,15592597
2023,2,169019397,0.010,1,15592598
2023,1,169019520,0.200,1,15592644
2023,8,169019520,0.100,1,15592645
2023,4,169019776,0.010,1,15592708
2023,8,169019776,9.000,9,15592709
2023,11,169019788,0.010,1,15592711
2023,2,169019512,0.010,1,15592640
2023,2,169019424,0.330,1,15592610
2023,2,176220895,0.010,1,16584976
2023,1,176221003,0.010,1,16584992
2023,12,176221003,0.500,1,16584993
2023,2,169019513,0.010,1,15592641
2023,2,169019590,0.010,1,15592663
2023,2,169853742,0.500,1,15725601
2023,4,169853742,0.500,1,15725602
2023,2,169020246,0.010,1,15592790
2023,2,169019485,0.010,1,15592633
2023,1,169019429,0.010,1,15592612
2023,4,169019429,0.010,1,15592613
2023,2,169019711,0.010,1,15592693
2023,4,171560631,1.000,1,15958402
2023,5,165257212,1.000,1,15041345
2023,1,169019582,1.000,1,15592660
2023,8,165257296,3.000,9,15041349
2023,2,169019691,0.500,1,15592686
2023,4,169019691,0.010,1,15592687
2023,2,169019892,0.010,1,15592743
2023,5,165257410,0.010,1,15041362
2023,1,169019560,1.000,1,15592657
2023,2,169019560,0.010,1,15592658
2023,2,169019705,0.010,1,15592691
2023,4,169019789,0.010,1,15592712
2023,5,169019920,1.000,1,15592744
2023,5,169853791,0.010,1,15725615
2023,2,169019519,0.100,1,15592643
2023,2,169019826,0.010,1,15592718
2023,4,169019826,0.010,1,15592719
2023,1,169019879,0.010,1,15592741
2023,4,172862912,1.000,1,16145939
2023,2,177291735,1.000,1,16727599
2023,2,171560592,10.300,1,15958377
2023,1,172862949,0.010,1,16145949
2023,8,172862949,2.000,9,16145950
2023,2,169854267,0.010,1,15725768
2023,4,169854267,0.010,1,15725769
2023,5,180939804,0.300,1,17236571
2023,5,165258163,8.000,1,15041463
2023,4,169854406,0.400,1,15725806
2023,12,182124153,1.000,9,17411954
2023,2,174354604,0.010,1,16346815
2023,12,174354604,0.010,1,16346816
2023,2,165258255,0.010,1,15041474
2023,4,165258255,0.010,1,15041475
2023,12,171560661,0.500,1,15958422
2023,15,171560661,15.000,9,15958423
2023,5,171560669,1.000,9,15958431
2023,5,171560669,0.010,1,15958432
2023,5,165258569,0.010,1,15041509
2023,5,171560594,1.000,1,15958378
2023,8,171560594,212.000,9,15958379
2023,1,169854652,0.010,1,15725850
2023,4,169854652,0.010,1,15725851
2023,12,169854652,5.000,9,15725852
